NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040253000186,87.5,,25.0,75.0,10.0,27076.0,34843.0,32901.0,AZ
040253000187,50.0,50.0,20.4,79.6,15.0,33420.0,42176.0,40392.0,AZ
040253000190,73.7,26.3,21.1,78.9,13.0,29202.0,37634.0,35859.0,AZ
040253000191,80.0,,50.0,50.0,9.0,27508.0,38380.0,32944.0,AZ
040253000192,71.4,28.6,21.4,78.6,11.0,27977.0,35805.0,34127.0,AZ
040253000193,88.9,,,88.9,13.0,,37559.0,36523.0,AZ
040253000194,45.0,55.0,30.0,70.0,15.0,31075.0,45842.0,41412.0,AZ
040253001156,,,0.0,,,,,,AZ
040253001291,,0.0,,0.0,,,,,AZ
040260000195,41.7,58.3,25.0,75.0,15.0,30130.0,36536.0,34934.0,AZ
040260000196,50.0,50.0,0.0,100.0,16.0,,34396.0,34396.0,AZ
040260001292,75.0,,,75.0,9.0,,35088.0,33661.0,AZ
040269000197,71.2,28.8,65.2,34.8,7.0,38721.0,54628.0,44264.0,AZ
040269000198,69.5,30.5,46.3,53.7,7.0,38642.0,49770.0,44613.0,AZ
040269000199,74.5,25.5,61.8,38.2,6.0,39354.0,51178.0,43869.0,AZ
040269000200,67.6,32.4,51.4,48.6,8.0,38145.0,50638.0,44222.0,AZ
040269000201,79.2,20.8,64.6,35.4,6.0,38340.0,51097.0,42858.0,AZ
040269001462,70.8,29.2,47.9,52.1,8.0,41084.0,50283.0,45875.0,AZ
040269002126,80.4,19.6,56.9,43.1,6.0,39289.0,50879.0,44289.0,AZ
040269002340,65.5,34.5,67.3,32.7,6.0,40552.0,50525.0,43816.0,AZ
040269002341,57.1,42.9,57.1,42.9,7.0,45839.0,54037.0,49352.0,AZ
040269002401,65.3,34.7,67.3,32.7,5.0,39875.0,47523.0,42372.0,AZ
