NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
293249002269	54.5	45.5	36.4	63.6	9	25543	30434	28655
293249002270	71.4	-1.0	42.9	57.1	8	25597	28073	27011
400001301028	91.7	-1.0	-1.0	83.3	14	-1	34077	33208
400001301101	-1.0	-1.0	-1.0	-1.0	9	-1	-1	34150
400001401566	74.1	25.9	25.9	74.1	12	29318	33856	32680
400001401582	70.0	30.0	-1.0	80.0	17	-1	36756	35535
400001501630	25.0	75.0	0.0	100.0	23	-2	37678	37678
400001501640	42.9	57.1	0.0	100.0	14	-2	34821	34821
400001501641	-1.0	60.0	0.0	100.0	21	-2	42744	42744
400001501659	64.3	35.7	-1.0	85.7	15	-1	40056	39663
400002025620	76.0	24.0	-1.0	96.0	15	-1	34169	33952
400002029709	45.5	54.5	27.3	72.7	14	29275	36519	34543
400002100848	75.0	25.0	30.0	70.0	13	28438	35507	33386
400002102290	80.0	-1.0	40.0	60.0	9	30194	34477	32763
400002129712	85.7	-1.0	-1.0	92.9	19	-1	37352	36784
400003202283	68.8	31.3	25.0	75.0	15	29015	35600	33954
400003202286	87.5	-1.0	-1.0	75.0	8	-1	33240	32201
400003202357	37.5	62.5	37.5	62.5	12	30533	35120	33400
400003302299	71.9	28.1	25.0	75.0	13	28888	34837	33349
400003302300	76.5	23.5	52.9	47.1	9	30562	37416	33787
400237000001	100.0	0.0	50.0	50.0	7	29127	32455	30791
400237000002	80.0	-1.0	0.0	100.0	16	-2	36671	36671
400237000003	85.7	-1.0	-1.0	85.7	13	-1	33713	32896
400243000003	25.6	74.4	15.4	84.6	12	29356	33639	32980
400243000005	21.7	78.3	26.1	73.9	11	28293	33621	32231
400243000006	13.8	86.2	10.3	89.7	16	27383	34840	34068
400243000007	23.1	76.9	15.4	84.6	12	27285	33236	32320
400243000008	-1.0	92.0	-1.0	92.0	17	-1	35268	34709
400243000725	11.8	88.2	8.8	91.2	16	29210	34347	33893
400246000009	84.6	-1.0	23.1	76.9	17	27156	34718	32973
400246000010	80.0	-1.0	0.0	100.0	13	-2	31197	31197
400246000011	69.6	30.4	17.4	82.6	13	27278	32062	31230
400252000013	78.6	21.4	-1.0	92.9	17	-1	35339	34829
400252000014	83.3	-1.0	-1.0	83.3	20	-1	37126	35701
400255000015	85.7	-1.0	21.4	78.6	14	29000	34111	33016
400255000016	75.0	-1.0	-1.0	75.0	10	-1	33717	33484
400258000017	50.0	50.0	-1.0	83.3	15	-1	35230	34665
400267000019	90.9	-1.0	27.3	72.7	19	29257	37028	34909
400267000020	100.0	0.0	-1.0	-1.0	10	-1	-1	32225
400267029673	66.7	33.3	-1.0	88.9	12	-1	35154	34581
400272000022	60.0	-1.0	-1.0	60.0	15	-1	36433	33285
400272000023	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
400276000024	66.7	33.3	-1.0	88.9	14	-1	34204	33614
400276000025	27.3	72.7	36.4	63.6	12	30627	37084	34736
400279000027	96.0	-1.0	36.0	64.0	12	29650	36534	34056
400285000030	55.6	44.4	19.0	81.0	16	30130	40057	38166
400285000033	74.1	25.9	18.5	81.5	12	29040	35136	34007
400285000035	71.4	28.6	14.3	85.7	16	29375	38005	36772
400285000036	78.0	22.0	12.2	87.8	16	29184	38272	37164
400285000037	80.0	20.0	16.0	84.0	16	28938	38228	36741
400285000038	72.2	27.8	-1.0	94.4	20	-1	39797	39142
400285000039	73.9	26.1	21.7	78.3	13	29325	36948	35291
400285002365	77.5	22.5	12.5	87.5	18	29020	39612	38288
400288000041	38.5	61.5	-1.0	84.6	15	-1	35005	34158
400288000042	31.3	68.8	25.0	75.0	17	28729	37910	35615
400288000043	85.7	-1.0	-1.0	85.7	17	-1	35447	34544
400288000044	63.6	36.4	-1.0	81.8	15	-1	34906	33786
400288000045	55.6	44.4	-1.0	88.9	14	-1	34194	33749
400291000046	80.0	20.0	-1.0	86.7	14	-1	34487	33766
400291000047	100.0	0.0	-1.0	-1.0	11	-1	-1	31842
400291029680	100.0	0.0	-1.0	88.9	19	-1	37364	36448
400300000050	51.3	48.7	10.3	89.7	16	27713	35877	35040
400300000051	72.7	27.3	-1.0	90.9	18	-1	35011	34314
400300000053	72.7	27.3	22.7	77.3	13	27711	33917	32506
400300000055	68.2	31.8	18.2	81.8	17	28802	35082	33940
